order_id,payment_type,payment_value
f244841f5a,credit_card,116
3597f6476c,boleto,85
242e24b7ea,credit_card,236
18259631aa,credit_card,220
14c0c0bebe,credit_card,180
3b697a20d9,boleto,45
55c0b6b41c,boleto,26
53035288ac,credit_card,375
845af9472c,credit_card,123
953b6636ab,credit_card,379
886b114d03,credit_card,2027
c61e3efc18,credit_card,45
2d1d5777f2,credit_card,91
aa600269bf,boleto,93
487c1451b8,voucher,30
0a9716da94,credit_card,165
65c863d900,voucher,50
62d9b911d7,credit_card,1002
279cc62fe9,boleto,116
e6ed383861,credit_card,240
4a4ed9ed79,credit_card,33
3f5a1c29c5,credit_card,213
1594012ccc,credit_card,362
2fe14af1d4,credit_card,88
bc3d816db1,credit_card,46
67c8c2016d,boleto,68
07d13d352c,boleto,32
b545ba7b0b,credit_card,340
9d8065ae4c,boleto,82
d9d104af1e,credit_card,40
9e59025992,credit_card,67
591083bc42,voucher,20
79b63d1f9c,voucher,76
7327c30a52,credit_card,40
3b9e43d6eb,credit_card,242
1e6d912e4c,boleto,207
57e4fc8f20,credit_card,215
d4fdb2be17,credit_card,39
e1b6234c32,credit_card,156
03afb3c10a,credit_card,131
c1b770015e,boleto,137
1a9b986cfe,credit_card,31
66f249e4d7,credit_card,348
c79bdf061e,credit_card,12
648b4f683c,credit_card,139
02951078a2,credit_card,257
afd0dbbab8,credit_card,269
2ad6c6594b,credit_card,40
774359a2a8,credit_card,350
332c674277,credit_card,134
c385c0eba0,credit_card,112
d087b8e096,boleto,72
5262eaeb97,credit_card,0
52636dd3c0,credit_card,77
aa7c35fd60,credit_card,26
caca64f71d,credit_card,371
fd1ddfeca9,credit_card,225
fa12564d74,credit_card,103
9c96fac210,boleto,65
85e7100518,voucher,69
11978d520d,voucher,20
9062b998bf,credit_card,125
31be75ffd0,boleto,95
999d0185fd,credit_card,25
6cdb868654,credit_card,52
50bf77081d,credit_card,145
d121cbcb70,credit_card,49
37fc444605,credit_card,47
3fff175860,credit_card,168
ae1126b689,credit_card,133
d56564f21e,voucher,1
068176c8a0,boleto,123
9488305b52,credit_card,283
7a1ba14765,credit_card,89
4b5648d839,boleto,32
52b5d339bb,credit_card,43
3a1a92434e,credit_card,254
dc400373e6,voucher,48
9f1cdc0e09,credit_card,48
d9952ada49,credit_card,67
251d586514,credit_card,311
0435b65bfd,credit_card,154
6644170ea0,credit_card,333
7c3e71109e,boleto,404
881206af1a,boleto,44
f86d7bc39a,voucher,1302
5f082a502d,credit_card,645
27a7ac4406,credit_card,186
cc1cc1d608,credit_card,208
76b8568803,debit_card,76
51e88bc351,credit_card,67
a5b4310907,credit_card,232
ad62ce74c3,boleto,69
a669137c06,credit_card,641
da46439d7d,boleto,41
d24e854112,voucher,50
1c67e99dc3,credit_card,106
4ff8e28200,credit_card,2288
33ebbe6b17,boleto,69
2176f1406c,boleto,88
08935d5052,credit_card,117
f553b61e2a,debit_card,194
1966886b80,debit_card,68
f6ed483455,credit_card,151
bf951e41c5,credit_card,54
32d8aa395f,credit_card,103
b798fc527c,debit_card,225
6c936253ed,boleto,39
dcec2b3be8,credit_card,159
90eaac01af,credit_card,234
a04639b53f,boleto,44
97e8d3eb8f,credit_card,205
7cb79316d2,credit_card,13
7250e10eca,credit_card,221
cf8ace9395,credit_card,52
101fa9bbc8,credit_card,131
24abd231b3,credit_card,38
bedff73fa5,voucher,35
808c4b7590,credit_card,143
c1310d06e7,credit_card,86
9144181fd0,credit_card,118
d189b98b9c,credit_card,341
2e2dd1119e,credit_card,105
7354aed5e2,credit_card,68
ab85e3c92c,credit_card,357
b80ba0f0c3,voucher,2
f0d8a84693,boleto,92
35bf7f86bc,credit_card,68
56ba89857b,credit_card,197
0f67e615d7,credit_card,153
440a666da5,credit_card,46
57bfb7a49b,credit_card,102
f6eb619039,credit_card,119
6b58f3523e,credit_card,44
210a5f61a6,credit_card,67
009ac36516,voucher,8
f1b7c83171,credit_card,44
bb2d7e3141,credit_card,37
1f31fc163d,credit_card,114
d4c46523b1,credit_card,396
88857d91dc,credit_card,185
73596e6751,credit_card,62
e9da0d015d,credit_card,25
e6f98f32bf,credit_card,153
acd76a8508,debit_card,145
aeb81ccabe,boleto,70
d51cbac21a,credit_card,114
edb14cad80,credit_card,31
6225c94031,credit_card,256
c8e19a0edc,boleto,341
984c8458b4,credit_card,143
29aefbcf33,voucher,84
ec5cf2317f,credit_card,232
3ba1ccc388,credit_card,194
5b2f1ff03b,credit_card,260
490f30e8fa,credit_card,49
191a21c0a0,credit_card,196
a23c7a7d06,boleto,245
621b8e90f6,voucher,72
e4fe84926e,credit_card,217
4801b9cf23,credit_card,152
37c755c6df,credit_card,72
d232a4685c,credit_card,128
2d5b437663,credit_card,56
07a26b88cc,credit_card,20
ce7cf6dd8f,boleto,171
bf5099786c,credit_card,85
4cc95216e5,boleto,56
1c859fbb6e,boleto,26
5eca211314,credit_card,41
ada812c780,boleto,37
ad2e046d1a,credit_card,135
9027f38fa8,credit_card,477
cd82b3b68f,credit_card,440
6c721c8ce1,credit_card,67
e199c3b74c,boleto,168
94a71bedec,boleto,31
64d6282bba,boleto,40
49f62326ab,credit_card,109
0e2b7e9ea8,credit_card,206
cfae1e992e,credit_card,134
99396be04e,credit_card,56
c776863a93,credit_card,264
ff2debba53,credit_card,240
7cf01fbc14,credit_card,91
c8ea1ac95f,credit_card,49
c24a00c414,boleto,107
cee90a4ed9,credit_card,62
ddc5ef5f86,credit_card,36
dd691e4f12,credit_card,35
a144da15ca,credit_card,256
ce70855bb7,credit_card,47
8f4be74e60,credit_card,125
f26bbe1ba1,credit_card,42
7246a71d32,credit_card,117
e65f1eeee1,credit_card,43
d2ebd7492d,credit_card,144
8e6df87600,boleto,126
b45255a669,credit_card,125
bfc9f97fc7,credit_card,229
9d4fe519c7,credit_card,124
fb6343faeb,boleto,143
2df8ef770e,voucher,56
75450feecb,boleto,46
d3f44296d9,voucher,3
87b8f9f472,credit_card,72
9a8743fed3,boleto,50
d0e9849de8,boleto,85
8384113384,boleto,63
ce6d150fb2,credit_card,1586
bedae8df4e,credit_card,433
16b6123f70,credit_card,642
e147052b9e,credit_card,263
18dc026cdb,boleto,134
06ff6cb289,credit_card,57
4436eb8a73,credit_card,383
dbdcb70ae9,boleto,159
fff7c4452f,credit_card,756
ed90ba41c4,credit_card,156
0bdb173bda,credit_card,132
5b7c6dbea3,boleto,48
47d051e89c,credit_card,107
0cd19e832f,credit_card,110
9786fe4bfc,credit_card,368
0fe5bc7345,boleto,106
817e8b5495,credit_card,281
22543080a0,credit_card,54
8ff5ec04a3,credit_card,121
257699bfe8,credit_card,102
386a7bf9de,boleto,90
a72d1276fd,boleto,75
e74c541155,debit_card,42
2b49d60af1,credit_card,35
c047e1042a,credit_card,444
a132f4bdf1,credit_card,69
683bf30614,voucher,30
6df674fd09,credit_card,65
5795989efa,credit_card,29
440b07cde0,credit_card,37
adc2f0c9fd,voucher,30
ad6137b47c,credit_card,145
f6e638ae1f,credit_card,79
c8f8f9f5df,credit_card,108
1dfbde97fe,credit_card,348
6760e20add,credit_card,88
ac3143c0b6,credit_card,953
68051b9b65,credit_card,125
8a170c3285,credit_card,64
242bc9216a,boleto,127
cbe9e2376e,credit_card,62
fe36a827e3,credit_card,55
a5fbd128ce,credit_card,146
3be1b5820b,credit_card,349
5ad7d89799,credit_card,91
b79a7395d3,boleto,108
ef0beb3342,credit_card,158
b616f638cd,credit_card,20
a3670896f8,boleto,72
33f3e269b8,credit_card,543
6a26bd1a03,credit_card,67
c3fa73017c,credit_card,139
45da19cff0,boleto,126
af045d3e5d,credit_card,41
ede510a059,boleto,203
b4d7995506,credit_card,540
b9a8d194c5,boleto,368
fa9ef31505,credit_card,107
94d2de9ad0,credit_card,387
7711d25c50,credit_card,107
cf9d814ad8,credit_card,101
0930df388b,credit_card,26
cbb39c59f8,boleto,244
0705d1148d,credit_card,117
415c8cb8b6,credit_card,171
35d75af8e3,credit_card,202
81c2a9cc7a,boleto,73
cb666a5ed3,credit_card,264
7a415e8280,credit_card,68
bdd49e833a,boleto,55
8543d2d86c,credit_card,92
e8f9288c67,credit_card,36
38006c12e1,credit_card,17
725bd1c01a,credit_card,58
20aa4f85b1,voucher,50
e11fec6c25,credit_card,1995
30f54cfb85,credit_card,130
604b550c04,boleto,710
8a0ecc5401,credit_card,68
cc80504e2d,credit_card,59
91f377dafe,credit_card,371
c75886866a,credit_card,667
fa625c35a5,credit_card,63
61792c6272,credit_card,49
0913c46b1c,boleto,147
65bbd07198,credit_card,354
46c7c115d7,credit_card,59
83c55d64c5,credit_card,408
e899327a59,credit_card,51
5ff78652a0,credit_card,386
9bfe486cba,credit_card,69
8be031b843,credit_card,21
ac0da888b1,credit_card,52
ebee038c59,credit_card,114
c596d86409,credit_card,162
394eefeb1d,credit_card,172
cccb62677b,credit_card,81
b249bb5bc0,credit_card,151
c5bb91ea21,credit_card,243
fd26702a3f,boleto,56
22420f3718,credit_card,45
019bdbaef5,boleto,108
e3c6bf3aad,credit_card,64
aa4f33b236,credit_card,193
ff5b7f4404,boleto,110
968ce3e13b,credit_card,200
31026c762c,credit_card,41
d74283a9b8,credit_card,54
c453fb0ec4,credit_card,77
189ede25eb,boleto,280
17b18aa0bf,credit_card,101
828c3114b7,credit_card,77
fcf62e3aab,credit_card,60
a6afa7362f,boleto,48
940d83f328,boleto,76
238bcd7a20,credit_card,84
3d7fb1dd6f,voucher,20
0f090dd2d8,credit_card,48
60bcba6747,debit_card,265
0ec392fc56,credit_card,127
96068d351a,credit_card,128
c2f065051b,credit_card,37
8cc7ecd805,credit_card,150
1fce50c183,credit_card,36
3fbb598da3,credit_card,198
f8aa207521,credit_card,112
5accb23a03,credit_card,35
689e882079,credit_card,189
503ede67b2,credit_card,228
87276b621c,credit_card,314
34dedd5cb5,credit_card,22
bea175d990,credit_card,257
89ce68f380,credit_card,162
276971787e,boleto,51
0b3d8a1bba,credit_card,190
fb4c1eeef0,credit_card,374
9378b5fa31,credit_card,53
952241c48f,credit_card,88
93de824100,voucher,25
0a62923907,credit_card,46
332e264249,boleto,131
5b2e70f861,credit_card,258
4f037f852c,credit_card,84
1314353395,credit_card,156
1d5912d4e6,boleto,69
ae544ab4fd,boleto,48
6e8e751584,credit_card,187
290069e93a,credit_card,69
88a82da4cb,voucher,25
33c011fdac,credit_card,162
0cc14454cb,credit_card,57
14d1138279,credit_card,154
8d6ed3e982,credit_card,236
474c0bedc2,credit_card,102
d73f657ce4,credit_card,65
f0ea851516,boleto,93
01e6f40a29,boleto,64
6eab6f37ff,credit_card,279
3d40c6056f,credit_card,205
d82255dd8d,credit_card,89
d2cb7c1008,boleto,75
7b88910a9e,credit_card,63
c1219b88f5,credit_card,0
9c5bfba7de,credit_card,231
d4a27413b7,boleto,41
e43a8e7bb3,credit_card,69
85be7c94bc,credit_card,72
d9b53f70b5,credit_card,24
933cae52f8,credit_card,88
b308154c76,credit_card,71
6519cf54b5,credit_card,80
21b966a378,credit_card,132
caa275ffe2,credit_card,394
08bc5baa3d,credit_card,165
1d6efdc47f,credit_card,98
ac14a1a3d8,credit_card,49
f6879e8e12,credit_card,180
c39da54f19,credit_card,40
28156e3f15,debit_card,71
dd3d73f70b,credit_card,262
a03080d297,credit_card,62
09c681e906,credit_card,311
69796e4e03,debit_card,93
b62880756e,boleto,100
9389b64e7d,credit_card,125
5d5b8c94e2,boleto,80
e6e5431f5c,credit_card,373
92f4f749aa,credit_card,62
4f22cd3d78,debit_card,36
5fcbedfee2,credit_card,29
6c949e670b,credit_card,102
175ba47aad,credit_card,130
28ff0422d1,credit_card,69
f0ffbaf1fe,credit_card,86
1662797f04,credit_card,74
aa7565b87e,credit_card,70
ad2b9f8531,credit_card,199
9b871ac523,credit_card,340
20c75d31d2,credit_card,48
2f54d4ac9b,credit_card,28
efc0a4486f,voucher,59
2b3ec45174,credit_card,166
4862027da7,boleto,51
774b04fe65,credit_card,67
93b63d0bd9,credit_card,164
d2b0a76364,boleto,79
470e4a0aae,boleto,93
41c7307fb0,credit_card,59
141d3bf5aa,credit_card,159
4b918a356d,credit_card,92
9da388551e,credit_card,42
92295e7114,credit_card,453
ca376f8f40,credit_card,234
d1c60fd7ac,credit_card,67
aa04ee4542,credit_card,19
6686695333,credit_card,143
de24995591,credit_card,112
73eedc4ca4,boleto,85
984cefe326,credit_card,102
44f9bb85e9,credit_card,134
63003bf6e2,credit_card,112
4277cdb7e2,credit_card,70
a1092ad981,credit_card,77
8f9b2d4a6c,credit_card,197
abb045c9c6,credit_card,93
e4e0b19136,boleto,44
71749baed4,credit_card,26
d3454c86a9,debit_card,149
dc70f94b8e,credit_card,106
de1f470a40,credit_card,246
64e64a4dd7,credit_card,22
ccb78ed7a1,credit_card,57
54b73f808b,credit_card,105
6ad99bac95,credit_card,203
3e47a8cc66,credit_card,330
a9096f7f0b,boleto,108
16e62e9da7,boleto,415
7371679207,credit_card,314
e6dfc4ce09,credit_card,206
8065c72fce,credit_card,27
6d0da5add6,boleto,19
0dd13170e2,credit_card,121
c283d7942d,credit_card,206
9e68588596,credit_card,142
a1f7a3803f,boleto,73
069872f35a,credit_card,72
d6dae36830,credit_card,86
0fe66ba925,boleto,230
83f897bfa5,boleto,206
92e3a3bff7,boleto,212
9b6a1b8bf0,credit_card,94
816b15129b,boleto,126
fbbc0a8643,voucher,140
209addb62d,credit_card,68
35d71bd329,credit_card,87
b790fce1ef,credit_card,305
05c5f64682,credit_card,161
2e69eb402e,debit_card,88
f8b1f5bc1c,credit_card,92
18feb354fd,credit_card,43
f5b3d7bf34,credit_card,116
4fbf4b4d08,boleto,64
d75cb37557,boleto,37
ee482a8248,credit_card,150
3476109613,credit_card,314
7f058780ef,credit_card,396
900fac51d8,debit_card,98
a837553259,credit_card,120
407408433e,credit_card,76
f41fbf3e30,credit_card,104
874a7690bc,credit_card,105
c3efd4a2e8,credit_card,110
a652116391,boleto,730
291036f430,credit_card,128
84e18f4b5b,credit_card,82
7c95572fd6,boleto,53
d85a98bb98,credit_card,61
48ab980d18,boleto,86
2760fc9dd1,credit_card,45
2299befc86,credit_card,25
0fa927b252,voucher,103
197be0df90,credit_card,114
531752ff49,credit_card,57
c137d955d6,credit_card,124
0d4bf86877,credit_card,64
906f47e5cb,credit_card,179
219fda9e83,boleto,40
065fb1ee0e,credit_card,104
d253842de8,credit_card,307
5a409b9e0a,credit_card,31
7056ed3b6f,credit_card,38
e3c4a1f614,voucher,52
067a8c6d7e,credit_card,35
49549ed2d1,credit_card,186
dfa57a47eb,credit_card,99
5fd03333c4,credit_card,215
c627fe35fc,credit_card,206
ba7243ecb3,boleto,55
c943bc78c3,credit_card,21
6d60fdb856,credit_card,26
73ffc7dbf1,credit_card,127
3f4870bf40,credit_card,223
90932f88aa,credit_card,56
1857ec1a18,boleto,566
52fe09ed9b,credit_card,39
12ab522ecc,credit_card,148
a10e674940,credit_card,64
3ef8344e34,credit_card,151
174fb39de9,boleto,93
c8584f2a0b,credit_card,71
539a1383b0,credit_card,188
9b790ca446,credit_card,257
82ee69216f,credit_card,692
bd0f032970,credit_card,181
81bee7ecbe,boleto,202
a45007bebe,credit_card,164
5256aac1d9,credit_card,137
9c54a1816e,credit_card,2
048cc31326,boleto,272
6ad6a8701a,credit_card,87
68986e4324,voucher,16
774189d7c5,credit_card,234
4c217e3cc2,boleto,86
36963a629d,boleto,33
37193e64eb,credit_card,10
ecdaf77dd1,credit_card,84
4c17c523dc,boleto,43
4197f94f8b,credit_card,47
15d2ed1b88,boleto,76
a8ff452116,boleto,104
4495f1b55b,credit_card,69
2f9892eb8d,credit_card,121
f6cc5ac0be,credit_card,238
e1edd95bfd,credit_card,181
a1431d521c,credit_card,135
972c2e78e9,credit_card,51
360787554f,credit_card,1783
b0cc2434ee,credit_card,145
f75517cfb9,credit_card,231
d022bdad33,boleto,70
d1ea13fc14,credit_card,1432
43b2b04bc7,voucher,45
3bfd863aeb,voucher,50
4f54cd2c8e,credit_card,64
c51937c0ea,credit_card,148
9bb824ec73,credit_card,171
b8188e1985,credit_card,86
3f72f100da,debit_card,22
5600c1fabd,credit_card,58
b9a089706e,boleto,149
5979684d63,credit_card,44
8d0b3f3857,credit_card,152
869e47849c,credit_card,82
6902f0d9d7,boleto,66
701784c754,boleto,52
2c9d0e7a53,credit_card,105
0132158c30,credit_card,413
460bbd1de4,credit_card,112
9b92d4432c,credit_card,186
d6b7fe0100,credit_card,165
d289934bdd,credit_card,49
fe87d4b944,debit_card,173
3949592980,credit_card,205
fb8d6e92e3,credit_card,21
9c0bd8cd0f,credit_card,132
f947132461,credit_card,36
ee00fa5093,boleto,66
a38d122ad3,boleto,161
ec89f64fa6,credit_card,27
2c283d6fe3,credit_card,91
cf014dc880,voucher,81
88889b5ed1,credit_card,167
2f92b812fd,credit_card,61
270f00466a,credit_card,60
d790743eff,credit_card,39
8616397296,credit_card,39
ccdb485490,credit_card,64
6de0a6791e,credit_card,186
9c440fc86e,credit_card,43
8d3a0426fb,credit_card,59
8effe67a72,credit_card,33
56430e0b99,debit_card,33
493c6b85f2,voucher,148
6ea6f5d854,credit_card,189
1634d04100,credit_card,105
94cbbe3043,boleto,69
6eb1728e88,voucher,85
132f1e7241,credit_card,179
ca29aec188,credit_card,168
9e8d7ab813,voucher,100
12788af294,credit_card,77
b0b61472cd,credit_card,99
63c5f492ab,credit_card,407
8ca5bdac5e,voucher,15
6c98fa3989,credit_card,424
25d919c718,credit_card,157
7dbdda97c8,credit_card,162
88c9df242e,credit_card,188
6bf0f652ea,credit_card,65
99e34b586d,credit_card,39
c74e486250,credit_card,365
710770cfb6,credit_card,65
73c21d26ee,credit_card,188
df339f81c4,boleto,35
6eea8cd99d,credit_card,590
3ca4116514,boleto,36
1475652ad4,credit_card,81
8c53283eca,credit_card,17
3615e42c9f,boleto,108
205587440f,credit_card,569
cf4eff954b,credit_card,48
a6e963c11e,credit_card,63
5718fc130d,boleto,39
ac033ca6c4,boleto,74
f03c93c744,boleto,66
524ea0422e,credit_card,36
dbcb89699a,credit_card,272
6365be88d5,credit_card,64
2625092182,boleto,49
67976860fd,credit_card,163
1295db8c21,credit_card,443
2d824bac66,credit_card,165
e41e586171,credit_card,1180
d21873cfa2,credit_card,706
4a686b47e7,voucher,20
76c025e933,credit_card,135
30bf87367e,credit_card,56
081e5884f4,credit_card,43
aa4cb17e19,credit_card,48
76978d31d8,credit_card,76
0b365bbd59,credit_card,2
6e60346a3e,credit_card,123
c1d8546e6e,boleto,128
055f84fd2e,credit_card,185
3d965a3a3a,credit_card,85
42ee4f9919,credit_card,149
ceddc11f4f,credit_card,32
7b8ad11294,credit_card,23
b9d5bea267,credit_card,98
de43e0e002,credit_card,124
3c608a5715,credit_card,191
3ac963599c,credit_card,123
f53fa17609,credit_card,26
d1e7343d9f,credit_card,71
8edc3a87d7,credit_card,153
6b64cb311a,credit_card,55
c124b224a2,credit_card,86
64c9c64b12,credit_card,33
79e5ae8017,credit_card,360
90024aa5d3,credit_card,105
f44117f130,credit_card,114
7db5f2eb8f,voucher,0
375d01d18f,credit_card,65
7699e05f3c,credit_card,88
068ef03abe,credit_card,76
edf2c3d639,credit_card,680
816ccd9d21,voucher,27
33ce126846,credit_card,61
cc69435b3a,credit_card,40
6b56339f54,credit_card,149
f8c6dd2b68,credit_card,75
44c5dae14c,credit_card,356
6893c7e3a0,credit_card,165
54066aeaaf,credit_card,61
d10d28ad0c,credit_card,43
1c79b6d729,credit_card,40
e22da8f5aa,credit_card,84
e6a66a8350,voucher,8
5a359fd847,credit_card,191
9dece38ba3,credit_card,32
c9677a4bab,boleto,32
5cfaa2e608,credit_card,50
4c1cb7f4ba,credit_card,37
482df43f85,credit_card,70
f057e28539,credit_card,38
4eecbfcab9,boleto,196
5429402f55,boleto,46
cc58d20406,credit_card,367
aab0a15c4d,credit_card,195
a0f3677ac2,credit_card,144
69ab7fdbd8,boleto,28
0ad81eec70,boleto,160
fc6e9a6cd6,voucher,103
88222a0461,credit_card,10
580b08c73a,credit_card,31
de87be44e8,credit_card,116
6f39301547,credit_card,40
1d50a1ce4c,boleto,66
276c36d0f0,voucher,17
750ed62dff,boleto,189
b667484df2,boleto,170
cb5c4ea12e,credit_card,50
6e2b63d508,credit_card,133
c9721963d4,boleto,543
af090d1b9b,credit_card,42
8a08c6b7d0,credit_card,161
2dd8a69d1e,boleto,72
e2c195168d,boleto,1605
be8ab651d9,boleto,130
4e27ad7f1a,credit_card,69
04031f8b12,credit_card,70
675d6533ed,credit_card,255
8ec26dd02a,credit_card,75
97d27b60de,credit_card,109
dc282855b1,credit_card,71
91e725244b,credit_card,113
b34f86c59a,credit_card,292
8ef3801f58,credit_card,129
44a9041df7,credit_card,177
2adb88df15,credit_card,27
9a99c1f976,credit_card,140
f2ce3b8d9c,boleto,23
66c8dae0eb,credit_card,49
e08878ad70,credit_card,84
ab77be4cf9,boleto,111
3307fa374b,credit_card,42
6a2979d48e,credit_card,210
bf897dd437,credit_card,42
2fd35ca971,boleto,50
90181a7780,credit_card,67
f29b2ca058,credit_card,46
8eb40d0d63,credit_card,201
e95a9cf427,credit_card,81
0c4c42e7e0,boleto,79
20b44662cb,credit_card,45
2bdd95b017,boleto,250
3663b949b5,credit_card,108
b6165efbad,credit_card,189
026a69b8c9,credit_card,135
25e8002575,boleto,104
5008e6358d,credit_card,184
2d609a52d6,boleto,164
6424ddd05f,credit_card,91
530ed5c74f,credit_card,129
0d80282817,credit_card,84
18045b4512,credit_card,57
ab23407c84,credit_card,97
767db3d915,debit_card,53
943124300f,boleto,35
cb161f108a,boleto,218
8533051a3d,boleto,67
e7fbf44c31,boleto,40
73612117a8,credit_card,97
42ed2aeb95,credit_card,159
dd6644d86c,boleto,167
c659935fdc,voucher,50
c1213e8146,credit_card,93
363524b179,credit_card,276
55eda25190,credit_card,149
107f069fdb,credit_card,175
347bf2a6f7,credit_card,143
15623f35d6,boleto,131
7cb67275a4,boleto,88
0588a3721b,credit_card,109
2c9802d8dc,boleto,63
f258f1bbb0,credit_card,353
cad2acef57,credit_card,276
b0a2019225,boleto,45
46ac11dfb6,credit_card,116
8e3ab8811f,boleto,46
cc779b7563,voucher,23
2e40f4ca67,credit_card,119
2ff04f721a,boleto,32
186c43c492,credit_card,222
90ea2b1be9,boleto,59
0e9a5de04c,boleto,204
ac3b973c92,credit_card,73
10266b8375,credit_card,131
5662e7f8bb,credit_card,57
69e0526abe,credit_card,27
ad9447ca1b,boleto,224
b0e1d9af1b,credit_card,135
2d0da8435c,credit_card,76
6a09c972c5,credit_card,67
57cf629636,boleto,137
938b81c296,boleto,68
71e46015f3,credit_card,73
d482cb92e4,credit_card,117
811acfa349,credit_card,84
09249f4625,credit_card,138
d0fcb0e646,credit_card,5
c6ee046b85,credit_card,119
928491f9ad,credit_card,77
9c83e600b8,boleto,84
60b0fba7a3,boleto,149
035c01a45e,boleto,93
e8f10e96c2,credit_card,76
72e260ebb1,boleto,121
631bf0797f,credit_card,528
374a125372,boleto,73
98f0e2b0d8,credit_card,70
cf008a8ccb,credit_card,278
e415a718c8,credit_card,89
ce4c70f737,boleto,117
e326f9904d,credit_card,180
7df4045bb0,credit_card,110
b637373763,credit_card,28
7936367b71,credit_card,23
b5a1d01293,voucher,50
f819c53d33,boleto,364
879dd3373c,credit_card,48
1dfc284468,credit_card,78
6cc24bf6c6,credit_card,159
