product_id,product_photos_count,product_length_cm,product_height_cm,product_width_cm,product_category_name,product_weight_kg
db7e6804f1,2.0,24.0,11.0,24.0,toys,0.3
50556c6304,1.0,16.0,2.0,20.0,health_beauty,0.25
88d2c501ec,1.0,40.0,40.0,40.0,health_beauty,10.7
722fb67c17,1.0,32.0,21.0,22.0,housewares,1.7
43b6d9e46e,1.0,39.0,28.0,25.0,garden_tools,7.7
1ffe365aa7,4.0,20.0,60.0,35.0,sports_leisure,5.2
3014e35fd7,1.0,17.0,10.0,14.0,telephony,0.125
e869d449cc,1.0,58.0,28.0,58.0,office_furniture,15.7
a1b3a75aaa,2.0,16.0,11.0,11.0,watches_gifts,0.35
7fdbc1ecf5,1.0,16.0,10.0,13.0,sports_leisure,0.213
15b3d40f37,3.0,16.0,11.0,11.0,fashion_bags_accessories,0.15
1cf39a397e,3.0,56.0,15.0,15.0,auto,18.2
f947156247,1.0,18.0,21.0,15.0,housewares,0.85
e96bac5656,6.0,16.0,20.0,16.0,home_construction,1.05
16b06ede45,5.0,16.0,9.0,11.0,fashion_bags_accessories,0.2
c7147724cd,1.0,16.0,15.0,11.0,housewares,0.3
dbb399a8be,1.0,23.0,9.0,13.0,computers_accessories,0.2
ed46d1fbd7,1.0,20.0,25.0,25.0,sports_leisure,0.8
d458378a17,2.0,24.0,7.0,14.0,stationery,0.2
596363933a,1.0,46.0,10.0,14.0,sports_leisure,0.698
4473f3e5c6,6.0,17.0,4.0,12.0,telephony,0.35
8c9faf6aab,3.0,24.0,5.0,17.0,books_general_interest,1.0
8e71b24c3e,1.0,21.0,13.0,28.0,computers_accessories,0.783
828fe03293,2.0,20.0,20.0,20.0,perfumery,0.6
19502a2826,1.0,55.0,30.0,30.0,toys,11.65
df47373856,1.0,16.0,2.0,11.0,costruction_tools_tools,0.4
657491063e,1.0,40.0,10.0,40.0,toys,3.05
a388f2043c,1.0,16.0,3.0,11.0,telephony,0.1
4c6018f41a,1.0,40.0,25.0,26.0,garden_tools,16.5
a85543a371,2.0,34.0,14.0,24.0,housewares,0.75
6b017e0d95,1.0,36.0,4.0,20.0,fashion_underwear_beach,0.25
6d14f72aff,3.0,84.0,14.0,20.0,luggage_accessories,2.3
75b433ca88,1.0,33.0,12.0,26.0,electronics,1.35
9aa70106d1,3.0,17.0,20.0,20.0,housewares,0.53
42fe4aefc7,1.0,20.0,20.0,20.0,auto,1.3
a04cf12934,5.0,57.0,14.0,36.0,fashion_shoes,4.0
224703229a,4.0,20.0,20.0,20.0,sports_leisure,8.15
43724b2773,1.0,16.0,2.0,11.0,construction_tools_construction,2.2
b29ca3d312,1.0,20.0,25.0,20.0,health_beauty,1.15
5e21d5cab5,4.0,16.0,2.0,11.0,watches_gifts,0.2
55610b8b7d,3.0,16.0,20.0,16.0,furniture_decor,0.4
68bfdbfe84,4.0,29.0,12.0,23.0,furniture_decor,0.6
5fb61f4826,,35.0,7.0,12.0,other,0.3
a5bc1334f1,1.0,16.0,10.0,16.0,bed_bath_table,1.2
701ff123e9,5.0,61.0,63.0,35.0,cool_stuff,10.664
73b499a2f5,2.0,50.0,12.0,36.0,housewares,1.8
42f14eda41,3.0,16.0,2.0,11.0,sports_leisure,0.5
47969dd948,1.0,19.0,12.0,19.0,stationery,0.258
446295cf6f,1.0,16.0,44.0,37.0,stationery,1.4
280c05c661,1.0,35.0,7.0,35.0,toys,0.4
4a96de21cc,5.0,30.0,10.0,30.0,air_conditioning,1.3
c45a1de8cd,2.0,30.0,10.0,25.0,bed_bath_table,1.0
1b37262ebd,3.0,30.0,10.0,18.0,pet_shop,1.3
04869307f7,2.0,38.0,36.0,19.0,toys,3.305
8bb6ace4cf,2.0,75.0,15.0,50.0,baby,6.0
21db47f649,4.0,35.0,5.0,25.0,computers_accessories,0.3
f4d705aa95,1.0,20.0,2.0,15.0,bed_bath_table,0.25
bbaef2eadf,2.0,18.0,11.0,11.0,perfumery,0.4
3fc3d63778,1.0,16.0,10.0,30.0,electronics,0.25
21d325f98c,2.0,29.0,19.0,22.0,toys,1.25
f6691c7e7a,2.0,40.0,6.0,40.0,fashion_male_clothing,0.95
c615805546,6.0,30.0,34.0,17.0,pet_shop,2.0
6e9c52b407,7.0,71.0,81.0,44.0,baby,13.575
e07f6e9343,1.0,17.0,16.0,16.0,health_beauty,0.667
80fc21f90a,2.0,17.0,11.0,12.0,watches_gifts,0.267
9cafef1080,2.0,45.0,20.0,40.0,bed_bath_table,1.75
dd783a33bc,1.0,16.0,12.0,11.0,health_beauty,0.15
ec019a7e1f,1.0,65.0,7.0,45.0,toys,10.55
20424e1f50,1.0,100.0,35.0,16.0,housewares,1.725
795ed17318,1.0,45.0,10.0,31.0,luggage_accessories,0.7
40a75445dc,1.0,34.0,16.0,16.0,sports_leisure,0.4
fff0a542c3,3.0,30.0,10.0,20.0,stationery,0.3
21419fbb5e,1.0,60.0,25.0,25.0,home_construction,5.85
d801448d8c,1.0,17.0,11.0,13.0,watches_gifts,0.267
d1fbb5683c,2.0,39.0,12.0,25.0,bed_bath_table,1.5
4e7f36f28c,1.0,24.0,16.0,14.0,cool_stuff,0.4
58bef3ad35,1.0,31.0,32.0,31.0,sports_leisure,1.3
532d7f19b8,1.0,16.0,10.0,14.0,housewares,0.4
aedb7e3000,1.0,25.0,2.0,19.0,art,0.15
c752f2bc46,1.0,25.0,13.0,14.0,health_beauty,0.65
7207700449,1.0,32.0,8.0,38.0,consoles_games,0.706
582dfc3697,1.0,25.0,10.0,25.0,fashion_bags_accessories,0.3
54910b8287,1.0,75.0,5.0,50.0,bed_bath_table,4.85
ecaae00206,1.0,20.0,24.0,15.0,auto,0.825
9e48435521,1.0,46.0,3.0,15.0,computers_accessories,0.6
f46c384460,2.0,23.0,9.0,11.0,sports_leisure,0.7
4fe53f6c12,1.0,40.0,10.0,27.0,furniture_decor,0.3
7aeb83cae6,2.0,17.0,14.0,17.0,housewares,1.27
3fc23ad64a,1.0,20.0,2.0,11.0,costruction_tools_tools,0.45
e10758160d,,16.0,2.0,11.0,other,2.2
dccef777bc,1.0,18.0,8.0,13.0,home_appliances,0.15
b6be875acc,1.0,16.0,3.0,11.0,garden_tools,0.2
84e1b9c6ba,1.0,33.0,88.0,44.0,kitchen_dining_laundry_garden_furniture,10.893
93c285dad7,1.0,25.0,7.0,20.0,housewares,1.8
1ba7948f3a,2.0,20.0,33.0,22.0,toys,1.22
6a61a5d77a,6.0,30.0,19.0,22.0,health_beauty,0.36
0e40b1ed4c,1.0,22.0,11.0,15.0,electronics,0.175
2de8789bf8,1.0,50.0,13.0,70.0,pet_shop,1.9
d394d30215,5.0,20.0,20.0,20.0,sports_leisure,0.25
9181a16945,3.0,85.0,11.0,50.0,baby,6.95
b166907a57,1.0,55.0,5.0,40.0,housewares,1.1
302a19dacd,5.0,17.0,7.0,24.0,baby,0.3
1fb2c1a0d7,1.0,58.0,28.0,58.0,office_furniture,16.5
0a17941f41,1.0,16.0,23.0,19.0,luggage_accessories,0.3
98190f6a2c,1.0,61.0,6.0,24.0,electronics,1.836
a18a23a783,1.0,18.0,22.0,16.0,health_beauty,0.175
e2c3ed9aad,1.0,22.0,24.0,21.0,toys,0.675
71c808620f,4.0,26.0,5.0,20.0,sports_leisure,0.2
25cdef5b14,1.0,30.0,20.0,30.0,industry_commerce_and_business,1.2
a1bf559ac1,2.0,39.0,2.0,30.0,computers_accessories,0.2
3b82733180,2.0,63.0,61.0,24.0,office_furniture,16.1
eca3036ef7,1.0,19.0,4.0,12.0,telephony,0.117
6b75ce117b,1.0,36.0,18.0,27.0,fixed_telephony,0.455
23ab7bb9ea,1.0,16.0,10.0,16.0,bed_bath_table,0.55
5cfe07a11f,4.0,22.0,12.0,33.0,fashion_shoes,0.75
78119fbfa7,2.0,18.0,11.0,13.0,cool_stuff,0.586
9138555a50,6.0,16.0,27.0,16.0,construction_tools_lights,0.54
1ec5373950,1.0,30.0,20.0,20.0,sports_leisure,3.7
3460708230,4.0,30.0,17.0,30.0,housewares,3.15
4ceab0364c,1.0,53.0,27.0,40.0,bed_bath_table,2.1
c9fe028948,3.0,20.0,19.0,18.0,construction_tools_safety,0.314
3c883b9d3f,1.0,23.0,15.0,23.0,bed_bath_table,0.55
98d0e0ca62,1.0,70.0,35.0,49.0,auto,13.825
f2c1df0fc3,1.0,40.0,6.0,50.0,bed_bath_table,0.85
622d3b263c,1.0,21.0,4.0,13.0,baby,0.25
15cd31f93b,1.0,20.0,20.0,20.0,toys,0.4
cd77016702,2.0,16.0,20.0,15.0,perfumery,0.4
3519403062,1.0,16.0,2.0,16.0,consoles_games,0.2
37dffde047,5.0,20.0,20.0,20.0,auto,0.25
d68bd4dedc,4.0,17.0,11.0,12.0,computers_accessories,1.95
e4c0d69baf,1.0,35.0,10.0,25.0,furniture_decor,0.3
b6b4ab44d1,1.0,30.0,45.0,11.0,watches_gifts,1.05
d19d6968c8,4.0,16.0,7.0,11.0,auto,0.4
de984954e2,1.0,56.0,9.0,22.0,musical_instruments,1.0
c6336fa91f,1.0,16.0,16.0,11.0,sports_leisure,0.15
d10abea506,1.0,16.0,16.0,16.0,health_beauty,0.7
4bae12e58c,3.0,17.0,7.0,17.0,consoles_games,0.45
aba0932ced,1.0,30.0,12.0,16.0,health_beauty,2.0
f777c90394,4.0,20.0,20.0,20.0,construction_tools_construction,21.4
39e3b9b12c,,16.0,7.0,11.0,other,0.3
2e511b5741,1.0,20.0,16.0,15.0,computers_accessories,0.188
74f250adf8,1.0,16.0,30.0,20.0,furniture_decor,0.3
f16ced867a,2.0,26.0,60.0,40.0,fashion_bags_accessories,13.6
1ce0e96380,3.0,25.0,25.0,25.0,furniture_decor,0.8
794de06c32,,18.0,8.0,14.0,other,0.3
a530b23a71,2.0,65.0,12.0,12.0,furniture_decor,1.4
d294bd539d,1.0,13.0,11.0,12.0,watches_gifts,0.65
fe91848876,1.0,26.0,17.0,17.0,construction_tools_construction,0.6
3da6f3c6c1,2.0,69.0,11.0,11.0,furniture_decor,3.0
8a4667ce8c,1.0,46.0,10.0,33.0,luggage_accessories,0.95
26d114f0b4,2.0,42.0,35.0,42.0,furniture_decor,17.4
ef22b71880,2.0,16.0,2.0,11.0,fashion_male_clothing,0.3
599e5320ae,2.0,20.0,20.0,20.0,computers_accessories,0.7
acfc0fd945,2.0,21.0,16.0,17.0,pet_shop,0.625
2029248294,3.0,32.0,14.0,22.0,garden_tools,3.25
e8f22df5fa,2.0,22.0,12.0,33.0,fashion_shoes,1.5
4da06dee0a,1.0,32.0,3.0,23.0,bed_bath_table,0.25
39d5f0edfb,1.0,31.0,6.0,12.0,garden_tools,0.425
185013b2b9,1.0,20.0,8.0,13.0,air_conditioning,0.15
3d1e658dd7,3.0,68.0,8.0,13.0,furniture_decor,0.35
5e459bd312,12.0,29.0,7.0,16.0,fashion_shoes,0.3
bb31a27a0b,12.0,19.0,3.0,11.0,telephony,0.1
99a5e7a2c1,3.0,16.0,21.0,18.0,auto,0.55
8a2d3285de,1.0,16.0,27.0,15.0,auto,0.25
fdac82e439,1.0,26.0,40.0,20.0,auto,1.0
b3f29e4bba,3.0,35.0,102.0,35.0,housewares,14.85
115bc0865d,3.0,42.0,25.0,15.0,baby,0.85
e71ba6dc5e,4.0,28.0,14.0,19.0,consoles_games,1.85
062597771e,1.0,16.0,2.0,11.0,fashion_bags_accessories,0.3
8d51190d4e,1.0,19.0,4.0,11.0,telephony,0.2
10d43b2359,1.0,22.0,3.0,15.0,health_beauty,0.15
b0cd550945,1.0,16.0,16.0,16.0,sports_leisure,0.9
e83ded7d97,1.0,44.0,19.0,19.0,garden_tools,1.9
ce130b350f,1.0,45.0,10.0,15.0,bed_bath_table,1.45
c04b819587,1.0,29.0,3.0,21.0,books_technical,1.1
454157d729,5.0,16.0,11.0,11.0,sports_leisure,0.2
f0737b524f,1.0,20.0,10.0,20.0,sports_leisure,12.6
bc4a074ab7,1.0,25.0,25.0,16.0,health_beauty,1.45
6c3fc3c928,3.0,42.0,25.0,15.0,cool_stuff,0.8
dc582e9ac5,1.0,22.0,14.0,14.0,perfumery,1.3
e84fb20fe3,1.0,22.0,3.0,15.0,health_beauty,0.15
3c2f792f10,1.0,20.0,20.0,20.0,electronics,0.2
bcad5b050c,3.0,23.0,43.0,35.0,garden_tools,11.45
0d8c64a12c,2.0,20.0,20.0,20.0,furniture_decor,2.2
e5d860a0ff,2.0,66.0,19.0,67.0,home_appliances_2,13.2
eca26be90d,3.0,16.0,2.0,11.0,fashion_bags_accessories,0.2
c4344f6de6,1.0,19.0,11.0,11.0,consoles_games,0.15
f092eaa771,3.0,30.0,30.0,30.0,musical_instruments,3.35
debefa9812,1.0,42.0,11.0,36.0,bed_bath_table,2.2
d0877f0094,2.0,50.0,50.0,30.0,office_furniture,30.0
4ed86bcb86,2.0,30.0,8.0,35.0,baby,0.5
e117ca2a90,1.0,45.0,10.0,34.0,bed_bath_table,1.8
7af3e2da47,,22.0,14.0,14.0,other,0.2
4c303e0fd1,1.0,70.0,11.0,11.0,party_supplies,1.3
63f7cd7997,2.0,16.0,9.0,11.0,fashion_bags_accessories,0.15
a2bd2eae20,1.0,19.0,48.0,35.0,luggage_accessories,0.7
55103cbbe0,5.0,40.0,55.0,30.0,luggage_accessories,2.9
f97d743100,4.0,16.0,9.0,11.0,fashion_bags_accessories,0.2
3d649f0e12,1.0,16.0,18.0,16.0,health_beauty,0.3
9a5a361f3c,2.0,23.0,7.0,15.0,stationery,0.2
c354569eef,1.0,49.0,4.0,50.0,bed_bath_table,0.7
7f383ce1a1,4.0,17.0,13.0,16.0,telephony,0.2
f2a1b32f85,4.0,105.0,10.0,40.0,air_conditioning,7.8
5027a29c73,2.0,16.0,4.0,11.0,stationery,0.55
457c5f8a59,4.0,16.0,2.0,11.0,watches_gifts,0.2
3eb0cd17f2,2.0,30.0,7.0,24.0,bed_bath_table,1.0
76df076d70,1.0,26.0,8.0,33.0,stationery,1.0
7683fe3e73,4.0,60.0,5.0,30.0,construction_tools_lights,1.45
e63e00cfcd,1.0,45.0,55.0,16.0,office_furniture,5.85
a77e6c9324,2.0,45.0,25.0,45.0,baby,8.3
a1e9b0d76a,1.0,28.0,12.0,18.0,sports_leisure,1.8
1dfb36d969,5.0,26.0,6.0,13.0,sports_leisure,0.9
ae728f68e1,1.0,19.0,19.0,19.0,sports_leisure,0.415
a1d1721699,1.0,21.0,6.0,14.0,telephony,0.103
22776ebd2b,2.0,20.0,8.0,14.0,auto,0.5
6b5af19067,1.0,16.0,6.0,11.0,stationery,0.6
c72a1a8c3b,5.0,18.0,22.0,30.0,computers_accessories,4.75
f14aa2ba81,1.0,18.0,15.0,16.0,watches_gifts,0.263
f2d80346f1,1.0,16.0,2.0,11.0,baby,0.05
1f64ec386a,1.0,16.0,22.0,11.0,perfumery,0.2
b97114b289,1.0,36.0,6.0,26.0,bed_bath_table,0.36
ef6aa884e3,1.0,16.0,7.0,12.0,cool_stuff,0.15
769cc5a32d,4.0,32.0,5.0,30.0,sports_leisure,1.1
e24f73b763,6.0,22.0,15.0,20.0,fashion_bags_accessories,2.25
0417855683,5.0,68.0,9.0,35.0,auto,1.475
11dc405387,1.0,100.0,7.0,11.0,sports_leisure,1.6
8729e9bc4b,1.0,25.0,30.0,20.0,health_beauty,1.65
eced39e6c3,3.0,35.0,10.0,15.0,toys,0.65
bad5bc36e6,1.0,21.0,34.0,34.0,housewares,0.9
afce90df29,4.0,19.0,3.0,11.0,telephony,0.075
06efa56b85,4.0,19.0,7.0,14.0,garden_tools,0.6
fa9cf28bea,3.0,35.0,6.0,15.0,furniture_decor,0.4
0bb7cb61f1,2.0,18.0,9.0,15.0,housewares,0.553
ad19bca6e0,1.0,18.0,25.0,16.0,books_general_interest,0.9
3349955146,2.0,25.0,25.0,25.0,housewares,0.25
95578be74a,1.0,58.0,28.0,58.0,office_furniture,14.9
288d91794e,1.0,16.0,10.0,16.0,bed_bath_table,1.1
f723793370,2.0,30.0,22.0,18.0,furniture_decor,2.05
24f9f99148,1.0,69.0,11.0,11.0,furniture_decor,0.85
4c505e52be,1.0,16.0,10.0,16.0,bed_bath_table,0.35
77c0d36252,3.0,20.0,20.0,30.0,garden_tools,1.4
c23381297f,4.0,20.0,20.0,20.0,computers_accessories,0.2
8b6a57fbcf,2.0,17.0,14.0,17.0,computers_accessories,0.617
78bd107dbc,1.0,16.0,41.0,41.0,housewares,2.6
ef76ea9ee8,1.0,20.0,9.0,14.0,drinks,0.2
c8a0fe4fb5,1.0,49.0,16.0,39.0,bed_bath_table,2.0
6bb81626d0,2.0,20.0,8.0,18.0,health_beauty,0.266
9339df4b55,1.0,19.0,4.0,11.0,telephony,0.2
09c3d39641,1.0,68.0,7.0,13.0,baby,0.3
7130a7cfbe,1.0,16.0,16.0,16.0,pet_shop,0.3
76fffd0056,1.0,16.0,2.0,20.0,watches_gifts,0.2
e05646078b,1.0,20.0,16.0,20.0,small_appliances,1.3
15571dce56,4.0,18.0,11.0,16.0,sports_leisure,0.482
c571bd52d5,1.0,16.0,10.0,16.0,bed_bath_table,0.55
2efbce46d3,1.0,16.0,16.0,15.0,health_beauty,0.27
a453b4cccc,6.0,17.0,4.0,12.0,telephony,0.3
0d79e29720,3.0,40.0,25.0,30.0,market_place,2.15
